,name,continent,y,date,isUpdated,confirmAdd,confirmAddCut,confirm,suspect,dead,heal,nowConfirm,confirmCompare,nowConfirmCompare,healCompare,deadCompare
116,科特迪瓦,非洲,2021,08.30,False,252,0,55108,0,430,49642,5036,0,0,0,0
117,刚果（金）,非洲,2021,08.30,False,0,0,54508,0,1057,30043,23408,0,0,0,0
118,澳大利亚,大洋洲,2021,08.30,False,1356,0,52612,0,1002,24204,27406,0,0,0,0
119,安哥拉,非洲,2021,08.30,False,89,0,47168,0,1201,39582,6385,0,0,0,0
120,斐济,大洋洲,2021,08.30,False,0,0,46027,0,479,11233,34315,0,0,0,0
121,特立尼达和多巴哥,,2021,08.30,False,185,0,44481,0,1278,32454,10749,0,0,0,0
122,马达加斯加,非洲,2021,08.30,False,0,0,42862,0,955,41177,730,0,0,0,0
123,斯威士兰,非洲,2021,08.30,False,109,0,42828,0,1081,22127,19620,0,0,0,0
124,苏丹,非洲,2021,08.30,False,0,0,37699,0,2831,30647,4221,0,0,0,0
125,马耳他,欧洲,2021,08.30,False,0,0,36089,0,440,32642,3007,0,0,0,0
126,佛得角,非洲,2021,08.30,False,80,0,35227,0,309,33173,1745,0,0,0,0
127,毛里塔尼亚,非洲,2021,08.30,False,151,0,33309,0,705,22859,9745,0,0,0,0
128,几内亚,非洲,2021,08.30,False,0,0,29209,0,326,24463,4420,0,0,0,0
129,苏里南,南美洲,2021,08.30,False,156,0,28840,0,715,21978,6147,0,0,0,0
130,叙利亚,亚洲,2021,08.30,False,115,0,27654,0,2003,22019,3632,0,0,0,0
131,加蓬,非洲,2021,08.30,False,0,0,25819,0,165,25228,426,0,0,0,0
132,圭亚那,南美洲,2021,08.30,False,356,0,25323,0,611,22327,2385,0,0,0,0
133,多哥,非洲,2021,08.30,False,483,0,21181,0,180,14654,6347,0,0,0,0
134,海地,北美洲,2021,08.30,False,0,0,20833,0,584,12961,7288,0,0,0,0
